;product_id;purchase_date;client_code
0;A28233506;20190303;1
1;A29054782;20190303;1
2;A28302706;20190303;1
3;MP_0990051_1217225113;20190303;1
4;A26878646;20190303;1
5;A27793977;20190303;1
6;A26226614;20190308;1
7;A26226717;20190308;1
8;A26227004;20190308;1
9;A26226026;20190308;1
10;MP_0990051_1201156212;20190303;1
11;MP_0478263_6630S9GWHL3Y0005;20190303;1
12;A26226792;20190308;1
13;MP_0001326_JHNH90567;20190303;1
14;MP_0001326_JHNK10514;20190303;1
15;MP_0001326_JHNK90625;20190303;1
16;MP_0001326_JHNR92D1756;20190303;1
17;MP_0001326_JHNR125AD0625;20190303;1
18;MP_0001326_JHNR153AD0487;20190303;1
19;A25593231;20190303;1
20;A26277832;20190303;1
21;A26277866;20190303;1
22;A26284901;20190303;1
23;A26284956;20190303;1
24;A26284990;20190303;1
25;A26285226;20190303;1
26;A26277924;20190308;1
27;A17229109;20190308;1
28;A21911498;20190308;1
29;A16028819;20190308;1
30;A27689869;20190303;1
31;MP_0012269_2660;20190303;1
32;MP_0012269_16F3801Gris;20190303;1
33;MP_0012269_16F3801Natural;20190303;1
34;MP_0012269_4219;20190303;1
35;MP_0012269_6103;20190303;1
36;MP_0012269_7800SL;20190303;1
37;MP_0012269_780gvfd5;20190303;1
38;MP_0012269_8323SL;20190303;1
39;MP_0012269_B7T017;20190303;1
40;MP_0012269_BB9721Negro;20190303;1
41;MP_0012269_BC1878;20190303;1
42;MP_0012269_MDBC1875SH;20190303;1
43;MP_0389585_AAV;20190303;1
44;MP_0389585_AA;20190303;1
45;MP_0389585_AAM;20190303;1
46;A24055901;20190308;1
47;MP_0012269_6GGFN5609ARojo;20190303;1
48;MP_0537852_809;20190308;1
49;MP_0537852_819;20190308;1
50;MP_0537852_820;20190308;1
51;MP_0537852_830;20190308;1
52;MP_0001326_JHNR3D0625;20190303;1
53;MP_0001326_JHNH10D0627;20190303;1
54;MP_0001326_JHNH17D0186;20190303;1
55;A28233506;20190310;2
56;A27574348;20190116;2
57;A27593319;20190116;2
58;A27610058;20190116;2
59;A28763078;20190310;2
60;A28763078;20190310;2
61;A27385669;20190311;2
62;A27385669;20190116;2
63;A27593309;20190116;2
64;A27683549;20190116;2
65;A28766200;20190310;2
66;A28766200;20190310;2
67;A28296146;20190310;2
68;A28361203;20190310;2
69;A28265470;20190310;2
70;A28301943;20190310;2
71;A28352884;20190310;2
72;A27505118;20190116;2
73;A28664809;20190310;2
74;A28664809;20190310;2
75;A28298941;20190310;2
76;A27488367;20190116;2
77;A26277249;20190110;2
78;A25332697;20190116;2
79;A26221439;20190116;2
80;A24637353;20190110;2
81;A24637353;20190110;2
82;A24637353;20190110;2
83;A24637353;20190110;2
84;A26076456;20190116;2
85;A26076456;20190116;2
86;A24637391;20190311;2
87;A24908992;20190311;2
88;A24787925;20190116;2
89;A24787925;20190310;2
90;A26268740;20190116;2
91;A27099284;20190311;2
92;A27099284;20190311;2
93;A27099485;20190311;2
94;A27099485;20190311;2
95;A26269289;20190311;2
96;A27095391;20190110;2
97;A28539259;20190310;2
98;MP_0106542_SA359;20190310;2
99;MP_0106542_SA536;20190310;2
100;A26930277;20190116;2
101;A26665858;20190116;2
102;A26665858;20190116;2
103;A26686128;20190116;2
104;A26686128;20190116;2
105;A27100323;20190311;2
106;A27100467;20190116;2
107;A27100102;20190116;2
108;A27100480;20190116;2
109;A27100720;20190116;2
110;A27101718;20190311;2
111;A27099978;20190116;2
112;A27099978;20190116;2
113;A27099988;20190116;2
114;A27099988;20190116;2
115;A27094702;20190110;2
116;A27039846;20190116;2
117;A27729579;20190110;2
118;A27729596;20190110;2
119;A9541059;20190110;2
120;A7592383;20190311;2
121;A9308061;20190110;2
122;A27338865;20190116;2
123;A27112928;20190116;2
124;A25238897;20190116;2
125;A27095190;20190110;2
126;A27095190;20190110;2
127;A27095223;20190110;2
128;A27095223;20190110;2
129;A24637323;20190310;2
130;A26665854;20190116;2
131;A26665854;20190116;2
132;A9313659;20190110;2
133;A9541080;20190110;2
